timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537456270.385881,0.324289,0.682382,-0.590480,0.318313,1.041284,0.137533,0.247284,-0.630644,-0.735622,-0.037521,-0.035204,0.059306,29.734735,-20.468143,-34.664490,,,,,,,
1537456270.415748,0.352119,0.696153,-0.584755,0.383780,1.080604,0.387607,0.264638,-0.641271,-0.720235,-0.058110,-0.028163,0.006688,30.575703,-21.209274,-33.226501,,,,,,,
1537456270.445615,0.382091,0.707926,-0.573056,0.351750,1.349740,0.463584,0.283268,-0.650259,-0.704927,0.047055,-0.046625,0.088793,31.016432,-21.521368,-32.376648,,,,,,,
1537456270.475483,0.408501,0.727539,-0.563762,0.493846,1.291970,0.368171,0.296660,-0.665034,-0.685363,0.009798,0.019709,0.175689,31.971762,-22.456100,-30.757812,,,,,,,
1537456270.505350,0.443395,0.740003,-0.563207,0.249493,0.794729,0.079322,0.316808,-0.674290,-0.667057,0.000864,0.096623,-0.127956,32.473221,-22.953497,-30.137878,,,,,,,
1537456270.535217,0.464019,0.740214,-0.568995,-0.008526,0.436169,-0.201435,0.330434,-0.674446,-0.660255,0.036998,0.041160,-0.141015,33.367115,-23.066174,-29.074585,,,,,,,
1537456270.565084,0.469315,0.735577,-0.569237,-0.295638,0.120385,0.037833,0.335337,-0.671015,-0.661277,-0.041117,-0.067876,-0.018044,33.174694,-22.958338,-28.867493,,,,,,,
1537456270.594951,0.475327,0.724314,-0.547432,-0.673113,1.136001,0.527274,0.342743,-0.662622,-0.665928,-0.112015,-0.018027,0.051304,33.669464,-22.641642,-28.644409,,,,,,,
1537456270.624819,0.487580,0.722481,-0.517176,-0.170458,0.814010,0.689872,0.351445,-0.661248,-0.662750,-0.016988,-0.006965,-0.057511,33.970196,-23.018341,-28.173523,,,,,,,
1537456270.654686,0.484538,0.729065,-0.500022,-0.005001,0.308741,0.272868,0.347392,-0.666172,-0.659949,0.091923,-0.024273,0.058799,34.184753,-23.532928,-27.715210,,,,,,,
